id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
10,2026-01-24,2281,69,13,3,791.38,67.44,20710.0
26,2025-07-29,2295,71,11,4,614.46,149.78,36670.97
45,2025-12-11,2278,66,3,11,1539.37,240.41,114732.26
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
50,2025-02-22,717,49,15,10,518.78,86.45,66871.99
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
74,2025-01-04,2814,64,5,7,1809.88,358.53,279782.46
82,2025-07-18,2392,21,3,4,0.0,83.63,33866.99
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
104,2025-10-20,3524,7,11,8,149.44,10.64,17925.05
140,2025-02-17,1227,48,8,5,1435.54,163.56,44225.55
159,2025-09-04,1637,5,2,5,748.78,82.65,84100.56
164,2026-01-16,851,50,13,9,501.92,62.0,81059.4
166,2025-05-09,2302,35,4,12,1924.36,409.1,50238.7
185,2026-01-04,1468,27,7,12,1852.09,243.81,347316.23
191,2025-11-12,837,34,12,3,1076.04,173.48,144639.86
200,2026-02-12,239,79,11,1,1218.97,181.78,225902.31
204,2025-11-27,2424,50,5,7,1614.32,388.18,80347.81
221,2025-03-15,2725,80,11,1,616.19,75.06,115464.32
277,2025-06-04,2165,16,13,12,113.44,11.06,22028.53
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
285,2025-07-06,2457,37,9,5,1159.92,229.02,119625.01
288,2025-07-06,1378,72,4,5,738.72,128.9,59480.36
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
336,2025-11-26,1444,54,3,10,550.34,49.47,20954.52
338,2025-06-28,1141,75,3,2,1845.6,92.8,319554.79
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
422,2025-08-07,181,4,8,5,1880.35,131.37,131698.52
429,2026-01-04,1774,50,7,5,987.28,127.17,119643.51
431,2025-03-27,21,56,2,11,1414.67,173.1,38629.85
441,2026-01-10,539,50,3,6,0.0,81.86,99567.79
443,2025-10-17,2491,60,1,3,566.75,28.78,105991.94
461,2025-08-09,1607,49,10,5,1391.27,131.33,260544.91
483,2025-10-18,1785,66,9,7,1906.65,335.86,68871.39
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
526,2026-02-08,284,65,10,8,1536.08,260.86,126568.35
