id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
1,17400,2025-10-16,2092.59,Abierto
3,15785,2025-09-19,702.27,Cerrado
8,23824,2025-01-17,2736.2,Abierto
13,3716,2025-07-13,-4274.39,Rechazado
24,17180,2025-06-13,6183.83,Cerrado
27,22625,2025-03-07,141.77,No especificado
33,2231,2025-09-21,2443.9,Rechazado
36,16929,2025-01-06,3649.94,Cerrado
45,15100,2025-01-27,8761.24,Abierto
66,14064,2025-03-25,9842.05,Abierto
67,5049,2025-05-26,13723.01,Rechazado
82,4048,2026-02-21,9909.58,No especificado
93,1928,2025-01-31,12706.47,Abierto
95,17219,2025-04-01,4580.14,No especificado
99,18399,2025-06-27,2077.75,Cerrado
101,24142,2025-06-21,1602.59,Abierto
105,19541,2025-09-28,4267.91,Cerrado
114,5370,2025-03-10,7762.7,Cerrado
146,5630,2025-02-16,6370.38,Cerrado
150,14981,2025-01-31,13415.37,Rechazado
152,22723,2025-09-09,9937.98,Abierto
156,16853,2025-03-09,1390.48,Abierto
159,2123,2025-11-12,6450.16,Cerrado
160,13528,2025-03-16,3582.61,Abierto
173,11295,2025-04-24,12085.03,Rechazado
175,6907,2025-12-06,12028.02,No especificado
184,13385,2025-07-08,5142.95,Rechazado
191,23374,2025-06-13,14690.5,Cerrado
192,24819,2025-12-07,764.29,Abierto
200,8648,2025-03-24,6486.31,Cerrado
206,5583,2025-03-04,11554.34,Cerrado
211,18427,2025-12-18,6967.73,Cerrado
213,1279,2025-02-07,13118.01,Rechazado
215,13337,2025-08-02,14527.75,Abierto
218,5896,2025-10-27,10531.67,Cerrado
227,2933,2025-10-17,5919.45,Cerrado
241,20874,2025-01-29,5212.81,Cerrado
255,24181,2025-02-09,3638.1,No especificado
281,22881,2025-11-14,197.86,Cerrado
292,15112,2025-10-01,2486.04,Cerrado
299,11447,2026-02-08,14867.64,Cerrado
308,15831,2025-07-06,4383.22,No especificado
311,16425,2025-05-02,10081.65,Cerrado
312,15669,2026-02-05,2986.38,Abierto
315,6480,2025-10-28,13359.79,Rechazado
317,7504,2025-12-06,6038.6,No especificado
324,4083,2025-03-18,10678.85,Cerrado
325,25648,2025-11-14,-12908.94,No especificado
326,6507,2025-06-11,6243.4,No especificado
332,20787,2025-05-17,11131.22,Abierto
350,7943,2025-05-11,10787.07,Cerrado
352,5401,2025-11-09,14262.99,Rechazado
356,21703,2025-08-01,3463.49,Abierto
358,5810,2025-11-18,6718.36,No especificado
364,16748,2025-08-24,7756.38,No especificado
