id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,829.53,,139253.11,"fecha_invalida,comision_invalida"
2,2026-02-16,2408,35,11,12,,12.22,27544.32,prima_invalida
3,,540,42,4,9,1611.53,92.05,173298.36,fecha_invalida
4,,2821,40,10,5,1866.62,456.99,244461.27,fecha_invalida
5,,945,23,9,11,,324.08,123407.75,"fecha_invalida,prima_invalida"
6,,1295,17,1,1,943.49,,71968.43,"fecha_invalida,comision_invalida"
7,,1254,25,11,4,1400.82,188.4,258202.93,fecha_invalida
8,,887,77,3,8,1670.56,258.75,,"fecha_invalida,monto_invalido"
9,,1670,66,8,12,,131.85,125804.84,"fecha_invalida,prima_invalida"
11,,2590,25,8,4,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
12,,1521,14,11,5,726.02,,86216.65,"fecha_invalida,comision_invalida"
13,,1527,9,14,9,708.37,105.04,27042.54,fecha_invalida
14,,367,65,1,11,0.0,122.12,249504.31,fecha_invalida
15,,1954,62,13,4,85.94,,7574.33,"fecha_invalida,comision_invalida"
16,,424,19,5,11,,39.07,,"fecha_invalida,prima_invalida,monto_invalido"
17,,856,73,14,8,832.85,,94675.98,"fecha_invalida,comision_invalida"
18,,123,75,2,5,,39.57,36567.17,"fecha_invalida,prima_invalida"
19,,1693,50,3,9,1257.43,237.2,106454.95,fecha_invalida
20,,522,32,1,3,487.69,117.43,,"fecha_invalida,monto_invalido"
21,,179,34,2,9,1709.14,1963.14,,"fecha_invalida,monto_invalido"
22,,2160,71,5,5,,172.42,124757.66,"fecha_invalida,prima_invalida"
23,,61,19,3,5,1403.46,112.05,163649.61,fecha_invalida
24,,302,15,15,9,,8.98,15865.44,"fecha_invalida,prima_invalida"
25,,101,34,8,2,,286.75,269942.16,"fecha_invalida,prima_invalida"
27,,352,30,3,6,-1290.55,179.37,162227.75,fecha_invalida
28,,1213,65,8,9,464.73,25.26,18041.73,fecha_invalida
29,,1101,7,8,12,,54.06,,"fecha_invalida,prima_invalida,monto_invalido"
30,,2493,14,12,4,816.71,199.22,106724.98,fecha_invalida
31,2025-08-07,1847,45,4,2,,229.13,117309.88,prima_invalida
32,2025-07-28,388,22,6,4,822.52,,,"comision_invalida,monto_invalido"
33,,1034,67,2,8,73.63,13.25,6844.04,fecha_invalida
34,,1969,41,10,5,,256.53,202107.44,"fecha_invalida,prima_invalida"
35,,1139,79,1,3,1847.73,191.44,,"fecha_invalida,monto_invalido"
36,,2313,53,12,6,779.35,64.18,95204.18,fecha_invalida
37,,2846,75,10,3,800.22,104.7,66127.82,fecha_invalida
38,,2327,39,13,7,,113.68,156124.02,"fecha_invalida,prima_invalida"
39,,629,62,11,7,,206.36,75584.63,"fecha_invalida,prima_invalida"
40,,25,47,6,9,1300.11,189.22,,"fecha_invalida,monto_invalido"
41,,3651,48,13,5,816.63,106.27,136809.9,fecha_invalida
42,,2455,31,5,11,308.02,58.25,60616.48,fecha_invalida
43,,2657,8,6,1,-1261.22,106.86,248818.74,fecha_invalida
44,,1701,10,14,10,946.36,153.66,153121.65,fecha_invalida
46,,2761,28,2,1,564.21,57.82,23965.61,fecha_invalida
47,,2482,18,3,2,1555.6,242.77,69252.65,fecha_invalida
48,2025-07-16,259,29,14,1,,46.88,55688.51,prima_invalida
51,,2801,67,5,4,1612.8,321.59,156855.81,fecha_invalida
52,,1746,33,1,10,1429.69,78.5,173202.87,fecha_invalida
53,,1962,79,1,3,0.0,305.78,265915.68,fecha_invalida
54,,2969,3,4,3,421.01,63.89,13911.37,fecha_invalida
55,,2340,26,10,6,1954.65,431.08,150219.71,fecha_invalida
56,,2767,28,7,8,73.11,,7064.28,"fecha_invalida,comision_invalida"
57,,852,4,13,1,,,213051.32,"fecha_invalida,prima_invalida,comision_invalida"
58,,454,6,15,8,,213.26,78055.76,"fecha_invalida,prima_invalida"
59,,1934,18,1,2,1253.51,,149260.92,"fecha_invalida,comision_invalida"
60,,3686,51,6,2,,,28102.81,"fecha_invalida,prima_invalida,comision_invalida"
61,,1759,23,4,12,142.93,13.14,3134.79,fecha_invalida
62,,584,36,4,8,695.24,63.23,28262.23,fecha_invalida
63,,3691,55,10,7,-1680.49,242.41,238110.36,fecha_invalida
64,,1081,75,8,1,109.72,17.48,,"fecha_invalida,monto_invalido"
65,,697,67,1,10,302.71,462.2,25597.06,fecha_invalida
67,,1246,31,6,5,,359.79,258570.08,"fecha_invalida,prima_invalida"
68,,475,43,13,3,1643.29,187.12,235726.94,fecha_invalida
69,,2178,76,1,4,,20.56,7505.94,"fecha_invalida,prima_invalida"
70,,730,78,15,4,,146.22,147931.73,"fecha_invalida,prima_invalida"
71,,3656,77,10,2,258.6,22.67,26081.96,fecha_invalida
72,,2797,14,2,7,51.1,8.38,9228.48,fecha_invalida
73,2025-03-01,841,26,7,12,,,33023.9,"prima_invalida,comision_invalida"
75,,1345,51,15,1,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
76,,2671,14,9,5,1563.09,381.13,,"fecha_invalida,monto_invalido"
77,,2386,79,14,12,1324.27,144.93,92440.33,fecha_invalida
78,,698,55,3,7,1298.49,305.47,92537.75,fecha_invalida
79,,2375,66,4,10,1055.66,,142122.95,"fecha_invalida,comision_invalida"
80,,914,64,6,7,1348.69,282.52,44463.35,fecha_invalida
81,,2745,13,13,11,1688.38,,151662.62,"fecha_invalida,comision_invalida"
83,,357,18,15,11,1612.27,182.21,,"fecha_invalida,monto_invalido"
84,,772,18,3,4,572.28,84.39,41526.61,fecha_invalida
85,,151,6,7,2,967.01,62.59,92114.86,fecha_invalida
86,,3714,32,15,11,1214.28,293.02,56519.26,fecha_invalida
87,,2217,98,11,12,1283.02,,94028.85,"fecha_invalida,comision_invalida"
88,,1671,28,12,6,885.97,132.85,95429.55,fecha_invalida
89,,2963,77,1,5,1372.83,,34680.04,"fecha_invalida,comision_invalida"
90,,753,20,1,10,916.04,219.65,129872.69,fecha_invalida
