id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,7076.25,Abierto,fecha_invalida
4,14299,,274.63,Abierto,fecha_invalida
5,12908,,9377.69,Rechazado,fecha_invalida
6,5107,,10535.74,No especificado,fecha_invalida
7,3379,,10513.3,Abierto,fecha_invalida
9,18118,,,Cerrado,"fecha_invalida,monto_invalido"
10,19947,,8801.03,Cerrado,fecha_invalida
11,6448,,1619.38,Abierto,fecha_invalida
12,4096,,,Rechazado,"fecha_invalida,monto_invalido"
14,8260,,,No especificado,"fecha_invalida,monto_invalido"
15,19142,,14533.77,Abierto,fecha_invalida
16,16312,,,Abierto,"fecha_invalida,monto_invalido"
17,2112,,11995.56,Cerrado,fecha_invalida
18,4445,,,No especificado,"fecha_invalida,monto_invalido"
19,5547,,5714.06,Cerrado,fecha_invalida
20,21508,,8867.02,No especificado,fecha_invalida
21,8637,,4335.01,Abierto,fecha_invalida
22,6924,,10436.86,Cerrado,fecha_invalida
23,5261,,6636.22,Abierto,fecha_invalida
25,719,,3257.92,No especificado,fecha_invalida
26,7930,,1326.94,Abierto,fecha_invalida
28,3123,,,Cerrado,"fecha_invalida,monto_invalido"
29,18397,,1485.06,Abierto,fecha_invalida
30,20396,,,No especificado,"fecha_invalida,monto_invalido"
31,14500,,,Cerrado,"fecha_invalida,monto_invalido"
32,20349,,-6166.3,No especificado,fecha_invalida
34,14393,,,Cerrado,"fecha_invalida,monto_invalido"
35,15273,,13959.68,Cerrado,fecha_invalida
37,504,,1143.51,Rechazado,fecha_invalida
38,1202,,2154.09,Cerrado,fecha_invalida
39,551,,,Abierto,"fecha_invalida,monto_invalido"
40,8220,,1081.73,Cerrado,fecha_invalida
41,4657,,9268.6,No especificado,fecha_invalida
42,3586,,11247.07,No especificado,fecha_invalida
43,11680,,10535.93,Cerrado,fecha_invalida
44,17906,,8580.31,Abierto,fecha_invalida
46,2860,,,Rechazado,"fecha_invalida,monto_invalido"
47,6904,,7795.35,Abierto,fecha_invalida
48,503,,3740.29,Rechazado,fecha_invalida
49,12852,,4828.13,No especificado,fecha_invalida
50,25778,,11437.5,No especificado,fecha_invalida
51,1344,,14278.06,No especificado,fecha_invalida
52,22187,,4886.0,Cerrado,fecha_invalida
53,11106,,2182.44,Cerrado,fecha_invalida
54,14544,,2132.56,Cerrado,fecha_invalida
55,19232,,5517.33,No especificado,fecha_invalida
56,14610,,,Abierto,"fecha_invalida,monto_invalido"
57,11757,,3215.08,Cerrado,fecha_invalida
58,9803,,,No especificado,"fecha_invalida,monto_invalido"
59,4806,,2856.71,Cerrado,fecha_invalida
60,15711,,2916.65,Cerrado,fecha_invalida
61,16070,,,No especificado,"fecha_invalida,monto_invalido"
62,14407,,8013.21,Cerrado,fecha_invalida
63,22281,,,No especificado,"fecha_invalida,monto_invalido"
64,10093,,11004.28,Cerrado,fecha_invalida
65,19562,,14057.33,Cerrado,fecha_invalida
68,4916,,5792.24,No especificado,fecha_invalida
69,14892,,14508.66,No especificado,fecha_invalida
70,18587,,5912.93,Cerrado,fecha_invalida
71,19836,,5377.67,No especificado,fecha_invalida
72,23320,,7245.79,No especificado,fecha_invalida
73,14099,,11459.27,Abierto,fecha_invalida
74,3314,,14502.38,Cerrado,fecha_invalida
75,9867,,1888.27,Abierto,fecha_invalida
76,18282,,,No especificado,"fecha_invalida,monto_invalido"
77,8700,,9948.91,Abierto,fecha_invalida
78,4535,,8534.49,Cerrado,fecha_invalida
79,7460,,11711.43,Cerrado,fecha_invalida
80,23359,,,No especificado,"fecha_invalida,monto_invalido"
81,10359,,,Cerrado,"fecha_invalida,monto_invalido"
83,16988,,14090.71,No especificado,fecha_invalida
84,2227,,10158.82,Abierto,fecha_invalida
85,7153,,5079.34,No especificado,fecha_invalida
86,25554,,,No especificado,"fecha_invalida,monto_invalido"
87,23591,,1777.81,Abierto,fecha_invalida
88,14027,,10253.14,Abierto,fecha_invalida
89,12761,,14870.71,Abierto,fecha_invalida
90,21277,,6602.43,Rechazado,fecha_invalida
91,80,,12229.82,Abierto,fecha_invalida
92,13736,,,No especificado,"fecha_invalida,monto_invalido"
94,15160,,3322.55,No especificado,fecha_invalida
96,17713,,7797.66,Abierto,fecha_invalida
97,13086,,,Rechazado,"fecha_invalida,monto_invalido"
98,19925,,1228.19,No especificado,fecha_invalida
100,24052,,2342.67,No especificado,fecha_invalida
102,8858,,5155.2,Cerrado,fecha_invalida
103,19170,,10183.94,No especificado,fecha_invalida
104,1153,,2580.4,No especificado,fecha_invalida
106,2501,,511.1,Abierto,fecha_invalida
107,17613,,11560.34,No especificado,fecha_invalida
108,1500,,,Abierto,"fecha_invalida,monto_invalido"
109,9413,,4356.6,Cerrado,fecha_invalida
110,16745,,8484.21,Abierto,fecha_invalida
111,2641,,11886.43,Cerrado,fecha_invalida
112,6548,,13134.7,Cerrado,fecha_invalida
113,8649,,10126.28,Abierto,fecha_invalida
115,24834,,12189.58,Abierto,fecha_invalida
116,8222,,,Abierto,"fecha_invalida,monto_invalido"
117,12941,2025-12-12,,Abierto,monto_invalido
118,21719,,,Abierto,"fecha_invalida,monto_invalido"
119,1874,,5171.14,No especificado,fecha_invalida
120,21805,,12403.48,Abierto,fecha_invalida
121,3645,,13084.42,Rechazado,fecha_invalida
122,16832,,7489.48,No especificado,fecha_invalida
123,8567,,5749.7,Rechazado,fecha_invalida
124,4535,,9389.56,No especificado,fecha_invalida
125,17509,,1154.08,Cerrado,fecha_invalida
126,13007,,13629.62,Rechazado,fecha_invalida
127,424,,1595.62,Cerrado,fecha_invalida
128,24167,,,No especificado,"fecha_invalida,monto_invalido"
129,8836,,1652.79,Abierto,fecha_invalida
130,14357,,,Rechazado,"fecha_invalida,monto_invalido"
131,21837,,13932.1,No especificado,fecha_invalida
132,1290,,9918.51,No especificado,fecha_invalida
133,5720,,,Abierto,"fecha_invalida,monto_invalido"
134,7223,,,Abierto,"fecha_invalida,monto_invalido"
